,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
1635,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.6,16,0.0,0.0,0.0,0.51456,19.15202,1
1679,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
1701,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9,21.24353,34.74443,87.0,0.06206,39.10899,0
1709,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,7,0.0,0.0,0.0,25.0,10.0,0
1710,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,0.12028,10.0,1
1711,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,5,46.81377,55.19441,0.0,0.05667,10.0,0
1712,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1,63.78437,80.49904,0.0,1.30107,1930.68673,0
1769,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,0.0,0.0,37.0,25.0,10.0,0
1774,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7,21,31.70972,49.22901,0.0,1.12684,788.48979,1
1784,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,12,4.84779,0.0,0.0,0.37655,37.95861,0
1798,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,15,0.0,0.0,0.0,25.0,10.0,1
1820,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2,10,0.0,0.0,0.0,25.0,10.0,0
1879,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.1,94,14.15759,0.0,70.0,0.15683,105.68078,1
1884,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,40,33.71327,57.16047,50.0,0.28975,69.54869,1
1886,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,17,0.0,0.0,0.0,25.0,69.13831,1
1887,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,25.0,10.0,1
1888,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.6,74,80.89702,86.15665,0.0,0.44113,678.56047,1
1890,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,57.0,54.0,90.0,25.0,10.0,1
1894,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.2,21,29.74863,49.00791,0.0,1.34264,887.67844,1
1898,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
1911,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0,7,0.0,0.0,0.0,0.03158,35.48821,0
1912,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.3,105,57.0,54.0,90.0,25.0,10.0,1
1914,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2,621,31.35022,44.62185,0.0,0.24535,178.87539,1
1915,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,21,0.0,0.0,0.0,25.0,10.0,1
1917,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.66984,216.00083,1
1921,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,4,14.05927,0.0,0.0,0.71454,1073.54029,0
1922,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.33713,300.25538,1
1923,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,74,80.89702,86.15665,0.0,0.44113,678.56047,1
1925,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,48.24566,47.27839,60.0,1.41517,2396.53998,1
1929,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.5,20,0.0,0.0,0.0,25.0,10.0,1
1930,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4,94,14.15759,0.0,70.0,0.13207,186.91776,1
1933,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,0.0,0.0,37.0,25.0,10.0,0
1935,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,5,46.81377,55.19441,0.0,0.08172,10.0,0
1936,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.2,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1940,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
1943,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,48.24566,47.27839,60.0,1.26275,2054.16733,1
1945,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,9,0.0,0.0,0.0,0.40638,10.56469,0
1958,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,14,76.52206,78.51392,0.0,2.26703,4307.48974,0
1963,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0,7,0.0,0.0,0.0,25.0,10.0,0
1964,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,30,78.9,79.6,95.0,2.10033,1196.68794,1
1967,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
1968,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
1969,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
1971,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,0.0,0.0,67.0,25.0,10.0,0
1973,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,17,0.0,0.0,0.0,0.0704,69.13831,1
1982,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,0.0,0.0,0.0,25.0,10.0,0
1983,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.9,10,0.0,0.0,0.0,0.78577,221.38592,0
1994,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,33,0.0,0.0,0.0,0.26654,38.04847,1
1995,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.3,15,0.0,0.0,0.0,25.0,10.0,1
2000,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,35.0,49.0,90.0,25.0,10.0,1
2004,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,9,0.0,0.0,0.0,0.07822,10.0,0
2010,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1,21,0.0,0.0,0.0,25.0,10.0,1
2021,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.4,6,15.43761,29.69789,0.0,0.01497,22.38581,0
2030,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
2032,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,40,25.4186,40.12246,0.0,0.12008,10.0,1
2035,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,13,0.0,0.0,0.0,0.03229,18.81599,0
2042,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,15,0.0,0.0,0.0,25.0,10.0,1
2055,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
2056,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.3,73,0.0,0.0,0.0,25.0,10.0,1
2057,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4,30,0.0,0.0,95.0,2.02243,1089.19646,1
2062,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,12,4.84779,0.0,0.0,0.37655,37.95861,0
2071,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,48.24566,47.27839,60.0,1.27945,2307.9544,1
2077,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.5,20,0.0,0.0,0.0,25.0,10.0,1
2078,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,0.0,0.0,0.0,25.0,10.0,0
2081,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.1,94,14.15759,0.0,70.0,0.15683,105.68078,1
2084,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8,70.62118,81.00955,0.0,2.76145,4247.7483,0
2099,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1,21,31.70972,49.22901,0.0,1.19567,838.47208,1
2100,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,4,11.79672,0.0,0.0,0.71454,850.27811,0
2105,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,12,4.84779,0.0,0.0,0.37655,37.95861,0
2110,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,4,0.0,0.0,0.0,25.0,10.0,0
2111,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,15,0.0,0.0,0.0,25.0,10.0,1
2114,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
2123,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.8,2,0.0,0.0,50.0,0.01321,50.86468,0
2125,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.70159,156.21967,1
2128,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.6,74,85.75126,90.58469,0.0,0.37359,679.46269,1
2130,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,93.5535,88.85071,0.0,2.18198,7006.63036,1
2145,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,0.12028,10.0,1
2149,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.1,10,0.0,0.0,0.0,0.78577,221.38592,0
2156,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,13,0.0,0.0,0.0,25.0,10.0,0
2161,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3,85.20645,86.01116,0.0,1.92987,4551.93071,0
2165,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,13,0.0,0.0,0.0,25.0,10.0,0
2168,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.6,16,0.0,0.0,0.0,0.51456,19.15202,1
2170,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,0.0,0.0,0.0,25.0,10.0,0
2179,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
2197,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1,0.0,0.0,0.0,25.0,10.0,0
2270,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5,40,33.71327,57.16047,50.0,0.26694,89.36161,1
2286,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,25.0,10.0,1
2288,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1,0.0,0.0,0.0,25.0,10.0,0
2289,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14,77.64565,81.08346,0.0,2.27592,4233.6383,0
2305,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.33713,272.67612,1
2313,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,33,0.0,0.0,0.0,0.26654,36.13195,1
2316,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9,21.24353,34.74443,87.0,0.12033,39.10899,0
2324,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,42.38519,60.02478,0.0,0.8815,1211.78504,0
2330,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.3,73,0.0,0.0,0.0,25.0,10.0,1
2343,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,9,0.0,0.0,0.0,0.40638,10.56469,0
2362,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,40,26.18298,48.55411,50.0,0.30563,58.29539,1
2371,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,17,0.0,0.0,0.0,25.0,69.13831,1
2388,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.1,10,0.0,0.0,0.0,0.78577,221.38592,0
2421,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.7,21,31.70972,49.22901,0.0,1.27131,887.67844,1
2451,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.2,3,0.0,0.0,0.0,0.30209,146.64741,0
2456,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1,33,0.0,0.0,0.0,0.26654,32.17731,1
2458,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,93.5535,88.85071,0.0,2.07629,6934.91054,1
2467,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.7,1,0.0,0.0,0.0,0.81882,492.03626,0
2469,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,0.0,0.0,37.0,25.0,10.0,0
2491,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0,7,0.0,0.0,0.0,25.0,10.0,0
2507,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.33713,248.92103,1
2511,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,3,10.63765,29.94714,0.0,0.02311,22.07069,0
2524,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,0.0,0.0,0.0,0.34223,10.0,0
2542,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1,10,0.0,0.0,0.0,25.0,10.0,0
2546,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.7,11,0.0,0.0,0.0,0.38695,38.77089,0
2580,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,14,76.52206,78.51392,0.0,2.22238,4414.69944,0
2581,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.6,10,9.45183,27.86454,0.0,25.0,10.0,0
2590,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,10,0.0,0.0,0.0,25.0,10.0,0
2601,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,0.0,0.0,0.0,25.0,10.0,0
2648,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,7,0.0,0.0,0.0,25.0,10.0,0
2657,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2,8,74.15411,83.39592,0.0,2.71924,4205.25602,0
2676,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,0.0,0.0,67.0,25.0,10.0,0
2686,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,15,0.0,0.0,0.0,25.0,10.0,1
2701,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
2705,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,12,4.84779,0.0,0.0,0.37655,89.11206,0
2711,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,92.47683,90.1335,0.0,2.08464,6632.24348,1
2744,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,4,0.0,0.0,0.0,25.0,10.0,0
2754,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,5,47.74702,57.5194,0.0,0.08623,10.0,0
2757,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,5,47.74702,57.5194,0.0,0.09183,10.0,0
2761,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.3,4,37.5032,59.69423,0.0,0.45645,525.37635,0
2796,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,0.12028,10.0,1
2804,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,25,21.31782,0.0,0.0,0.71858,672.94068,1
2827,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.7,11,0.0,0.0,0.0,0.31312,42.96538,0
2831,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,25.0,10.0,1
2839,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.1,94,14.15759,0.0,70.0,0.15683,105.68078,1
2841,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.7,4,43.75356,55.306,0.0,0.31291,315.2625,0
2842,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.33713,300.25538,1
