,poverty_percentage,join_key
1180,0.3,"(154.0, 2014)"
1181,0.2,"(154.0, 2015)"
1182,0.2,"(154.0, 2016)"
1183,0.3,"(154.0, 2017)"
1184,0.3,"(154.0, 2018)"
1185,0.3,"(154.0, 2019)"
1186,0.3,"(154.0, 2020)"
1187,0.3,"(154.0, 2021)"
1198,0.1,"(155.0, 2010)"
1199,0.0,"(155.0, 2011)"
1200,0.1,"(155.0, 2012)"
1201,0.1,"(155.0, 2013)"
1202,0.0,"(155.0, 2014)"
1203,0.1,"(155.0, 2015)"
1204,0.1,"(155.0, 2016)"
1205,0.0,"(155.0, 2017)"
1206,0.0,"(155.0, 2018)"
1207,0.0,"(155.0, 2019)"
1208,0.0,"(155.0, 2020)"
1209,0.0,"(155.0, 2021)"
1220,11.2,"(156.0, 2010)"
1221,7.9,"(156.0, 2011)"
1222,6.5,"(156.0, 2012)"
1223,1.9,"(156.0, 2013)"
1224,1.4,"(156.0, 2014)"
1225,0.7,"(156.0, 2015)"
1226,0.5,"(156.0, 2016)"
1227,0.5,"(156.0, 2017)"
1228,0.5,"(156.0, 2018)"
1229,0.5,"(156.0, 2019)"
1230,0.5,"(156.0, 2020)"
1231,0.5,"(156.0, 2021)"
1242,7.8,"(170.0, 2010)"
1243,6.3,"(170.0, 2011)"
1244,6.2,"(170.0, 2012)"
1245,5.6,"(170.0, 2013)"
1246,5.0,"(170.0, 2014)"
1247,4.6,"(170.0, 2015)"
1248,4.5,"(170.0, 2016)"
1249,4.0,"(170.0, 2017)"
1250,4.2,"(170.0, 2018)"
1251,4.9,"(170.0, 2019)"
1252,4.9,"(170.0, 2020)"
1253,4.9,"(170.0, 2021)"
1264,15.0,"(174.0, 2010)"
1265,15.0,"(174.0, 2011)"
1266,15.0,"(174.0, 2012)"
1267,15.0,"(174.0, 2013)"
1268,19.1,"(174.0, 2014)"
1269,19.1,"(174.0, 2015)"
1270,19.1,"(174.0, 2016)"
1271,19.1,"(174.0, 2017)"
1272,19.1,"(174.0, 2018)"
1273,19.1,"(174.0, 2019)"
1274,19.1,"(174.0, 2020)"
1275,19.1,"(174.0, 2021)"
1286,55.1,"(178.0, 2010)"
1287,39.6,"(178.0, 2011)"
1288,39.6,"(178.0, 2012)"
1289,39.6,"(178.0, 2013)"
1290,39.6,"(178.0, 2014)"
1291,39.6,"(178.0, 2015)"
1292,39.6,"(178.0, 2016)"
1293,39.6,"(178.0, 2017)"
1294,39.6,"(178.0, 2018)"
1295,39.6,"(178.0, 2019)"
1296,39.6,"(178.0, 2020)"
1297,39.6,"(178.0, 2021)"
1308,94.3,"(180.0, 2010)"
1309,94.3,"(180.0, 2011)"
1310,77.2,"(180.0, 2012)"
1311,77.2,"(180.0, 2013)"
1312,77.2,"(180.0, 2014)"
1313,77.2,"(180.0, 2015)"
1314,77.2,"(180.0, 2016)"
1315,77.2,"(180.0, 2017)"
1316,77.2,"(180.0, 2018)"
1317,77.2,"(180.0, 2019)"
1318,77.2,"(180.0, 2020)"
1319,77.2,"(180.0, 2021)"
1330,1.6,"(188.0, 2010)"
1331,1.7,"(188.0, 2011)"
1332,1.7,"(188.0, 2012)"
1333,1.6,"(188.0, 2013)"
1334,1.5,"(188.0, 2014)"
1335,1.5,"(188.0, 2015)"
1336,1.3,"(188.0, 2016)"
1337,1.1,"(188.0, 2017)"
1338,1.5,"(188.0, 2018)"
1339,1.0,"(188.0, 2019)"
1340,1.0,"(188.0, 2020)"
1341,1.0,"(188.0, 2021)"
1352,1.2,"(191.0, 2010)"
1353,0.7,"(191.0, 2011)"
1354,0.8,"(191.0, 2012)"
1355,0.7,"(191.0, 2013)"
1356,1.0,"(191.0, 2014)"
1357,0.6,"(191.0, 2015)"
1358,0.6,"(191.0, 2016)"
1359,0.5,"(191.0, 2017)"
1360,0.4,"(191.0, 2018)"
1361,0.4,"(191.0, 2019)"
1362,0.4,"(191.0, 2020)"
1363,0.4,"(191.0, 2021)"
1374,0.0,"(196.0, 2010)"
1375,0.0,"(196.0, 2011)"
1376,0.0,"(196.0, 2012)"
1377,0.1,"(196.0, 2013)"
1378,0.1,"(196.0, 2014)"
1379,0.0,"(196.0, 2015)"
1380,0.0,"(196.0, 2016)"
1381,0.0,"(196.0, 2017)"
1382,0.0,"(196.0, 2018)"
1383,0.0,"(196.0, 2019)"
1384,0.0,"(196.0, 2020)"
1385,0.0,"(196.0, 2021)"
1396,40.8,"(199.0, 2010)"
1397,39.9,"(199.0, 2011)"
1398,38.3,"(199.0, 2012)"
1399,37.5,"(199.0, 2013)"
1400,36.9,"(199.0, 2014)"
1401,37.3,"(199.0, 2015)"
1402,37.2,"(199.0, 2016)"
1403,36.3,"(199.0, 2017)"
1404,35.3,"(199.0, 2018)"
1405,35.3,"(199.0, 2019)"
1406,35.3,"(199.0, 2020)"
1407,35.3,"(199.0, 2021)"
1418,48.7,"(202.0, 2010)"
1419,46.8,"(202.0, 2011)"
1420,45.2,"(202.0, 2012)"
1421,44.8,"(202.0, 2013)"
1422,43.5,"(202.0, 2014)"
1423,43.2,"(202.0, 2015)"
1424,43.1,"(202.0, 2016)"
1425,42.4,"(202.0, 2017)"
1426,41.5,"(202.0, 2018)"
1427,41.5,"(202.0, 2019)"
1428,41.5,"(202.0, 2020)"
1429,41.5,"(202.0, 2021)"
1440,0.0,"(203.0, 2010)"
1441,0.0,"(203.0, 2011)"
1442,0.0,"(203.0, 2012)"
1443,0.0,"(203.0, 2013)"
1444,0.0,"(203.0, 2014)"
1445,0.0,"(203.0, 2015)"
1446,0.0,"(203.0, 2016)"
1447,0.0,"(203.0, 2017)"
1448,0.0,"(203.0, 2018)"
1449,0.0,"(203.0, 2019)"
1450,0.0,"(203.0, 2020)"
1451,0.0,"(203.0, 2021)"
1462,51.4,"(204.0, 2010)"
1463,53.2,"(204.0, 2011)"
1464,53.2,"(204.0, 2012)"
1465,53.2,"(204.0, 2013)"
1466,53.2,"(204.0, 2014)"
1467,49.6,"(204.0, 2015)"
1468,49.6,"(204.0, 2016)"
1469,49.6,"(204.0, 2017)"
1470,49.6,"(204.0, 2018)"
1471,49.6,"(204.0, 2019)"
1472,49.6,"(204.0, 2020)"
1473,49.6,"(204.0, 2021)"
1484,0.1,"(208.0, 2010)"
1485,0.0,"(208.0, 2011)"
1486,0.0,"(208.0, 2012)"
1487,0.3,"(208.0, 2013)"
1488,0.2,"(208.0, 2014)"
1489,0.2,"(208.0, 2015)"
1490,0.3,"(208.0, 2016)"
1491,0.1,"(208.0, 2017)"
1492,0.2,"(208.0, 2018)"
1493,0.2,"(208.0, 2019)"
1494,0.2,"(208.0, 2020)"
1495,0.2,"(208.0, 2021)"
1506,2.5,"(214.0, 2010)"
1507,2.9,"(214.0, 2011)"
1508,2.6,"(214.0, 2012)"
1509,2.2,"(214.0, 2013)"
1510,2.1,"(214.0, 2014)"
1511,1.8,"(214.0, 2015)"
1512,1.6,"(214.0, 2016)"
1513,0.7,"(214.0, 2017)"
1514,0.4,"(214.0, 2018)"
1515,0.6,"(214.0, 2019)"
1516,0.6,"(214.0, 2020)"
1517,0.6,"(214.0, 2021)"
1528,5.7,"(218.0, 2010)"
1529,4.7,"(218.0, 2011)"
1530,4.5,"(218.0, 2012)"
1531,3.2,"(218.0, 2013)"
1532,2.6,"(218.0, 2014)"
1533,3.5,"(218.0, 2015)"
1534,3.6,"(218.0, 2016)"
1535,3.2,"(218.0, 2017)"
1536,3.3,"(218.0, 2018)"
1537,3.6,"(218.0, 2019)"
1538,3.6,"(218.0, 2020)"
1539,3.6,"(218.0, 2021)"
1550,5.7,"(222.0, 2010)"
1551,4.7,"(222.0, 2011)"
1552,4.2,"(222.0, 2012)"
1553,3.4,"(222.0, 2013)"
1554,3.1,"(222.0, 2014)"
1555,2.0,"(222.0, 2015)"
1556,2.3,"(222.0, 2016)"
1557,1.9,"(222.0, 2017)"
1558,1.5,"(222.0, 2018)"
1559,1.3,"(222.0, 2019)"
1560,1.3,"(222.0, 2020)"
1561,1.3,"(222.0, 2021)"
1572,35.6,"(231.0, 2010)"
1573,35.6,"(231.0, 2011)"
1574,35.6,"(231.0, 2012)"
1575,35.6,"(231.0, 2013)"
1576,35.6,"(231.0, 2014)"
1577,30.8,"(231.0, 2015)"
1578,30.8,"(231.0, 2016)"
1579,30.8,"(231.0, 2017)"
1580,30.8,"(231.0, 2018)"
1581,30.8,"(231.0, 2019)"
1582,30.8,"(231.0, 2020)"
1583,30.8,"(231.0, 2021)"
1594,0.7,"(233.0, 2010)"
1595,1.0,"(233.0, 2011)"
1596,0.7,"(233.0, 2012)"
1597,0.8,"(233.0, 2013)"
1598,0.7,"(233.0, 2014)"
1599,0.6,"(233.0, 2015)"
1600,0.5,"(233.0, 2016)"
1601,0.3,"(233.0, 2017)"
1602,0.2,"(233.0, 2018)"
1603,0.2,"(233.0, 2019)"
1604,0.2,"(233.0, 2020)"
1605,0.2,"(233.0, 2021)"
1616,1.6,"(242.0, 2010)"
1617,1.6,"(242.0, 2011)"
1618,1.6,"(242.0, 2012)"
1619,0.5,"(242.0, 2013)"
1620,0.5,"(242.0, 2014)"
1621,0.5,"(242.0, 2015)"
1622,0.5,"(242.0, 2016)"
1623,0.5,"(242.0, 2017)"
1624,0.5,"(242.0, 2018)"
1625,0.5,"(242.0, 2019)"
1626,0.5,"(242.0, 2020)"
1627,0.5,"(242.0, 2021)"
1638,0.0,"(246.0, 2010)"
1639,0.0,"(246.0, 2011)"
1640,0.1,"(246.0, 2012)"
1641,0.1,"(246.0, 2013)"
1642,0.1,"(246.0, 2014)"
1643,0.1,"(246.0, 2015)"
1644,0.0,"(246.0, 2016)"
1645,0.1,"(246.0, 2017)"
1646,0.1,"(246.0, 2018)"
1647,0.1,"(246.0, 2019)"
1648,0.1,"(246.0, 2020)"
1649,0.1,"(246.0, 2021)"
1660,0.1,"(250.0, 2010)"
1661,0.0,"(250.0, 2011)"
1662,0.1,"(250.0, 2012)"
1663,0.1,"(250.0, 2013)"
1664,0.0,"(250.0, 2014)"
1665,0.1,"(250.0, 2015)"
1666,0.1,"(250.0, 2016)"
1667,0.0,"(250.0, 2017)"
1668,0.0,"(250.0, 2018)"
1669,0.0,"(250.0, 2019)"
1670,0.0,"(250.0, 2020)"
1671,0.0,"(250.0, 2021)"
1682,20.2,"(262.0, 2010)"
1683,20.2,"(262.0, 2011)"
1684,18.2,"(262.0, 2012)"
1685,22.3,"(262.0, 2013)"
1686,22.3,"(262.0, 2014)"
1687,22.3,"(262.0, 2015)"
1688,22.3,"(262.0, 2016)"
1689,17.0,"(262.0, 2017)"
1690,17.0,"(262.0, 2018)"
1691,17.0,"(262.0, 2019)"
1692,17.0,"(262.0, 2020)"
1693,17.0,"(262.0, 2021)"
1704,8.0,"(266.0, 2010)"
1705,8.0,"(266.0, 2011)"
1706,8.0,"(266.0, 2012)"
1707,8.0,"(266.0, 2013)"
1708,8.0,"(266.0, 2014)"
1709,8.0,"(266.0, 2015)"
1710,8.0,"(266.0, 2016)"
1711,3.4,"(266.0, 2017)"
1712,3.4,"(266.0, 2018)"
1713,3.4,"(266.0, 2019)"
1714,3.4,"(266.0, 2020)"
1715,3.4,"(266.0, 2021)"
1726,12.0,"(268.0, 2010)"
1727,11.1,"(268.0, 2011)"
1728,8.5,"(268.0, 2012)"
1729,6.4,"(268.0, 2013)"
1730,4.9,"(268.0, 2014)"
1731,3.7,"(268.0, 2015)"
1732,3.8,"(268.0, 2016)"
1733,5.0,"(268.0, 2017)"
1734,4.5,"(268.0, 2018)"
1735,3.8,"(268.0, 2019)"
1736,3.8,"(268.0, 2020)"
1737,3.8,"(268.0, 2021)"
1748,25.4,"(270.0, 2010)"
1749,25.4,"(270.0, 2011)"
1750,25.4,"(270.0, 2012)"
1751,25.4,"(270.0, 2013)"
1752,25.4,"(270.0, 2014)"
1753,10.3,"(270.0, 2015)"
1754,10.3,"(270.0, 2016)"
1755,10.3,"(270.0, 2017)"
1756,10.3,"(270.0, 2018)"
1757,10.3,"(270.0, 2019)"
1758,10.3,"(270.0, 2020)"
1759,10.3,"(270.0, 2021)"
1770,0.2,"(275.0, 2010)"
1771,0.2,"(275.0, 2011)"
1772,0.2,"(275.0, 2012)"
1773,0.2,"(275.0, 2013)"
1774,0.2,"(275.0, 2014)"
1775,0.2,"(275.0, 2015)"
1776,0.8,"(275.0, 2016)"
1777,0.8,"(275.0, 2017)"
1778,0.8,"(275.0, 2018)"
1779,0.8,"(275.0, 2019)"
1780,0.8,"(275.0, 2020)"
1781,0.8,"(275.0, 2021)"
1792,0.0,"(276.0, 2010)"
1793,0.0,"(276.0, 2011)"
1794,0.0,"(276.0, 2012)"
1795,0.0,"(276.0, 2013)"
1796,0.0,"(276.0, 2014)"
1797,0.0,"(276.0, 2015)"
1798,0.0,"(276.0, 2016)"
1799,0.0,"(276.0, 2017)"
1800,0.0,"(276.0, 2018)"
1801,0.0,"(276.0, 2019)"
1802,0.0,"(276.0, 2020)"
1803,0.0,"(276.0, 2021)"
1814,23.4,"(288.0, 2010)"
1815,23.4,"(288.0, 2011)"
1816,11.2,"(288.0, 2012)"
1817,11.2,"(288.0, 2013)"
1818,11.2,"(288.0, 2014)"
1819,11.2,"(288.0, 2015)"
1820,12.7,"(288.0, 2016)"
1821,12.7,"(288.0, 2017)"
1822,12.7,"(288.0, 2018)"
1823,12.7,"(288.0, 2019)"
1824,12.7,"(288.0, 2020)"
1825,12.7,"(288.0, 2021)"
1836,12.9,"(296.0, 2010)"
1837,12.9,"(296.0, 2011)"
1838,12.9,"(296.0, 2012)"
1839,12.9,"(296.0, 2013)"
1840,12.9,"(296.0, 2014)"
1841,12.9,"(296.0, 2015)"
1842,12.9,"(296.0, 2016)"
1843,12.9,"(296.0, 2017)"
1844,12.9,"(296.0, 2018)"
1845,12.9,"(296.0, 2019)"
1846,12.9,"(296.0, 2020)"
1847,12.9,"(296.0, 2021)"
1858,1.0,"(300.0, 2010)"
1859,1.2,"(300.0, 2011)"
1860,1.5,"(300.0, 2012)"
1861,1.0,"(300.0, 2013)"
1862,1.5,"(300.0, 2014)"
1863,1.4,"(300.0, 2015)"
1864,1.1,"(300.0, 2016)"
1865,0.9,"(300.0, 2017)"
1866,0.1,"(300.0, 2018)"
1867,0.1,"(300.0, 2019)"
1868,0.1,"(300.0, 2020)"
1869,0.1,"(300.0, 2021)"
1880,11.2,"(320.0, 2010)"
1881,11.2,"(320.0, 2011)"
1882,11.2,"(320.0, 2012)"
1883,11.2,"(320.0, 2013)"
1884,8.8,"(320.0, 2014)"
1885,8.8,"(320.0, 2015)"
1886,8.8,"(320.0, 2016)"
1887,8.8,"(320.0, 2017)"
1888,8.8,"(320.0, 2018)"
1889,8.8,"(320.0, 2019)"
1890,8.8,"(320.0, 2020)"
1891,8.8,"(320.0, 2021)"
1902,58.4,"(324.0, 2010)"
1903,58.4,"(324.0, 2011)"
1904,36.1,"(324.0, 2012)"
1905,36.1,"(324.0, 2013)"
1906,36.1,"(324.0, 2014)"
1907,36.1,"(324.0, 2015)"
1908,36.1,"(324.0, 2016)"
1909,36.1,"(324.0, 2017)"
1910,36.1,"(324.0, 2018)"
1911,36.1,"(324.0, 2019)"
1912,36.1,"(324.0, 2020)"
1913,36.1,"(324.0, 2021)"
1926,24.5,"(332.0, 2012)"
1927,24.5,"(332.0, 2013)"
1928,24.5,"(332.0, 2014)"
1929,24.5,"(332.0, 2015)"
1930,24.5,"(332.0, 2016)"
1931,24.5,"(332.0, 2017)"
1932,24.5,"(332.0, 2018)"
1933,24.5,"(332.0, 2019)"
1934,24.5,"(332.0, 2020)"
1935,24.5,"(332.0, 2021)"
1946,15.6,"(340.0, 2010)"
1947,17.4,"(340.0, 2011)"
1948,20.1,"(340.0, 2012)"
1949,17.7,"(340.0, 2013)"
1950,16.3,"(340.0, 2014)"
1951,16.4,"(340.0, 2015)"
1952,16.1,"(340.0, 2016)"
1953,15.4,"(340.0, 2017)"
1954,15.8,"(340.0, 2018)"
1955,14.8,"(340.0, 2019)"
1956,14.8,"(340.0, 2020)"
1957,14.8,"(340.0, 2021)"
1968,0.1,"(348.0, 2010)"
1969,0.1,"(348.0, 2011)"
1970,0.3,"(348.0, 2012)"
1971,0.1,"(348.0, 2013)"
1972,0.6,"(348.0, 2014)"
1973,0.6,"(348.0, 2015)"
1974,1.3,"(348.0, 2016)"
1975,0.6,"(348.0, 2017)"
1976,0.2,"(348.0, 2018)"
1977,0.2,"(348.0, 2019)"
1978,0.2,"(348.0, 2020)"
1979,0.2,"(348.0, 2021)"
1990,0.1,"(352.0, 2010)"
1991,0.1,"(352.0, 2011)"
1992,0.0,"(352.0, 2012)"
1993,0.0,"(352.0, 2013)"
1994,0.0,"(352.0, 2014)"
1995,0.0,"(352.0, 2015)"
1996,0.0,"(352.0, 2016)"
1997,0.0,"(352.0, 2017)"
1998,0.0,"(352.0, 2018)"
1999,0.0,"(352.0, 2019)"
2000,0.0,"(352.0, 2020)"
2001,0.0,"(352.0, 2021)"
2012,32.8,"(356.0, 2010)"
2013,22.5,"(356.0, 2011)"
2014,22.5,"(356.0, 2012)"
2015,22.5,"(356.0, 2013)"
2016,22.5,"(356.0, 2014)"
2017,22.5,"(356.0, 2015)"
2018,22.5,"(356.0, 2016)"
2019,22.5,"(356.0, 2017)"
2020,22.5,"(356.0, 2018)"
2021,22.5,"(356.0, 2019)"
2022,22.5,"(356.0, 2020)"
2023,22.5,"(356.0, 2021)"
2034,13.3,"(360.0, 2010)"
2035,10.9,"(360.0, 2011)"
2036,9.5,"(360.0, 2012)"
2037,7.3,"(360.0, 2013)"
2038,6.2,"(360.0, 2014)"
2039,5.8,"(360.0, 2015)"
2040,5.2,"(360.0, 2016)"
2041,4.5,"(360.0, 2017)"
2042,3.6,"(360.0, 2018)"
2043,2.9,"(360.0, 2019)"
2044,2.9,"(360.0, 2020)"
2045,2.9,"(360.0, 2021)"
2056,1.1,"(364.0, 2010)"
2057,1.1,"(364.0, 2011)"
2058,1.1,"(364.0, 2012)"
2059,0.2,"(364.0, 2013)"
2060,0.4,"(364.0, 2014)"
2061,0.4,"(364.0, 2015)"
2062,0.4,"(364.0, 2016)"
2063,0.4,"(364.0, 2017)"
2064,0.5,"(364.0, 2018)"
2065,0.5,"(364.0, 2019)"
2066,0.5,"(364.0, 2020)"
2067,0.5,"(364.0, 2021)"
2078,1.5,"(368.0, 2010)"
2079,1.5,"(368.0, 2011)"
2080,1.7,"(368.0, 2012)"
2081,1.7,"(368.0, 2013)"
2082,1.7,"(368.0, 2014)"
2083,1.7,"(368.0, 2015)"
2084,1.7,"(368.0, 2016)"
2085,1.7,"(368.0, 2017)"
2086,1.7,"(368.0, 2018)"
2087,1.7,"(368.0, 2019)"
2088,1.7,"(368.0, 2020)"
2089,1.7,"(368.0, 2021)"
2100,0.5,"(372.0, 2010)"
2101,0.5,"(372.0, 2011)"
2102,0.2,"(372.0, 2012)"
2103,0.7,"(372.0, 2013)"
2104,0.4,"(372.0, 2014)"
2105,0.3,"(372.0, 2015)"
2106,0.1,"(372.0, 2016)"
2107,0.2,"(372.0, 2017)"
2108,0.2,"(372.0, 2018)"
2109,0.2,"(372.0, 2019)"
2110,0.2,"(372.0, 2020)"
2111,0.2,"(372.0, 2021)"
2122,0.2,"(376.0, 2010)"
2123,0.2,"(376.0, 2011)"
2124,0.5,"(376.0, 2012)"
2125,0.5,"(376.0, 2013)"
2126,0.5,"(376.0, 2014)"
2127,0.5,"(376.0, 2015)"
2128,0.2,"(376.0, 2016)"
2129,0.2,"(376.0, 2017)"
2130,0.2,"(376.0, 2018)"
2131,0.2,"(376.0, 2019)"
2132,0.2,"(376.0, 2020)"
2133,0.2,"(376.0, 2021)"
2144,1.3,"(380.0, 2010)"
2145,1.2,"(380.0, 2011)"
2146,1.2,"(380.0, 2012)"
2147,1.4,"(380.0, 2013)"
2148,1.2,"(380.0, 2014)"
2149,1.9,"(380.0, 2015)"
2150,1.6,"(380.0, 2016)"
2151,1.4,"(380.0, 2017)"
2152,1.4,"(380.0, 2018)"
2153,1.4,"(380.0, 2019)"
2154,1.4,"(380.0, 2020)"
2155,1.4,"(380.0, 2021)"
2166,30.4,"(384.0, 2010)"
2167,30.4,"(384.0, 2011)"
2168,30.4,"(384.0, 2012)"
2169,30.4,"(384.0, 2013)"
2170,30.4,"(384.0, 2014)"
2171,29.8,"(384.0, 2015)"
2172,29.8,"(384.0, 2016)"
2173,29.8,"(384.0, 2017)"
2174,29.8,"(384.0, 2018)"
2175,29.8,"(384.0, 2019)"
2176,29.8,"(384.0, 2020)"
2177,29.8,"(384.0, 2021)"
2188,1.7,"(388.0, 2010)"
2189,1.7,"(388.0, 2011)"
2190,1.7,"(388.0, 2012)"
2191,1.7,"(388.0, 2013)"
2192,1.7,"(388.0, 2014)"
2193,1.7,"(388.0, 2015)"
2194,1.7,"(388.0, 2016)"
2195,1.7,"(388.0, 2017)"
2196,1.7,"(388.0, 2018)"
2197,1.7,"(388.0, 2019)"
2198,1.7,"(388.0, 2020)"
2199,1.7,"(388.0, 2021)"
2210,0.0,"(392.0, 2010)"
2211,0.0,"(392.0, 2011)"
2212,0.0,"(392.0, 2012)"
2213,0.7,"(392.0, 2013)"
2214,0.7,"(392.0, 2014)"
2215,0.7,"(392.0, 2015)"
2216,0.7,"(392.0, 2016)"
2217,0.7,"(392.0, 2017)"
2218,0.7,"(392.0, 2018)"
2219,0.7,"(392.0, 2019)"
2220,0.7,"(392.0, 2020)"
2221,0.7,"(392.0, 2021)"
2232,0.1,"(398.0, 2010)"
2233,0.0,"(398.0, 2011)"
2234,0.0,"(398.0, 2012)"
2235,0.0,"(398.0, 2013)"
2236,0.0,"(398.0, 2014)"
2237,0.0,"(398.0, 2015)"
2238,0.0,"(398.0, 2016)"
2239,0.0,"(398.0, 2017)"
2240,0.0,"(398.0, 2018)"
2241,0.0,"(398.0, 2019)"
2242,0.0,"(398.0, 2020)"
2243,0.0,"(398.0, 2021)"
2254,0.1,"(400.0, 2010)"
2255,0.1,"(400.0, 2011)"
2256,0.1,"(400.0, 2012)"
2257,0.1,"(400.0, 2013)"
2258,0.1,"(400.0, 2014)"
2259,0.1,"(400.0, 2015)"
2260,0.1,"(400.0, 2016)"
2261,0.1,"(400.0, 2017)"
2262,0.1,"(400.0, 2018)"
2263,0.1,"(400.0, 2019)"
2264,0.1,"(400.0, 2020)"
