,join_key,full_time_researchers_per_million
1515,"(440, 2019)",3190.70248
1516,"(440, 2020)",3190.70248
1517,"(440, 2021)",3190.70248
1528,"(442, 2010)",5144.98247
1529,"(442, 2011)",5451.36114
1530,"(442, 2012)",4352.17017
1531,"(442, 2013)",4614.21778
1532,"(442, 2014)",4741.07149
1533,"(442, 2015)",4480.00056
1534,"(442, 2016)",4667.99249
1535,"(442, 2017)",4960.21355
1536,"(442, 2018)",4941.70411
1537,"(442, 2019)",4941.70411
1538,"(442, 2020)",4941.70411
1539,"(442, 2021)",4941.70411
1550,"(446, 2010)",649.847
1551,"(446, 2011)",610.53098
1552,"(446, 2012)",736.65119
1553,"(446, 2013)",913.27602
1554,"(446, 2014)",1031.46687
1555,"(446, 2015)",1276.89058
1556,"(446, 2016)",2648.29416
1557,"(446, 2017)",3227.40402
1558,"(446, 2018)",3543.20632
1559,"(446, 2019)",3543.20632
1560,"(446, 2020)",3543.20632
1561,"(446, 2021)",3543.20632
1572,"(450, 2010)",51.95815
1573,"(450, 2011)",50.86468
1574,"(450, 2012)",50.86468
1575,"(450, 2013)",50.86468
1576,"(450, 2014)",50.86468
1577,"(450, 2015)",50.86468
1578,"(450, 2016)",24.70438
1579,"(450, 2017)",30.62121
1580,"(450, 2018)",34.04118
1581,"(450, 2019)",34.04118
1582,"(450, 2020)",34.04118
1583,"(450, 2021)",34.04118
1594,"(454, 2010)",50.3521
1595,"(454, 2011)",50.3521
1596,"(454, 2012)",50.3521
1597,"(454, 2013)",50.3521
1598,"(454, 2014)",50.3521
1599,"(454, 2015)",50.3521
1600,"(454, 2016)",50.3521
1601,"(454, 2017)",50.3521
1602,"(454, 2018)",50.3521
1603,"(454, 2019)",50.3521
1604,"(454, 2020)",50.3521
1605,"(454, 2021)",50.3521
1616,"(458, 2010)",1462.46876
1617,"(458, 2011)",1648.88372
1618,"(458, 2012)",1790.69463
1619,"(458, 2013)",1790.69463
1620,"(458, 2014)",2054.16733
1621,"(458, 2015)",2307.9544
1622,"(458, 2016)",2396.53998
1623,"(458, 2017)",2396.53998
1624,"(458, 2018)",2184.7224
1625,"(458, 2019)",2184.7224
1626,"(458, 2020)",2184.7224
1627,"(458, 2021)",2184.7224
1638,"(466, 2010)",29.40326
1639,"(466, 2011)",29.40326
1640,"(466, 2012)",29.40326
1641,"(466, 2013)",29.40326
1642,"(466, 2014)",29.40326
1643,"(466, 2015)",30.84218
1644,"(466, 2016)",30.84218
1645,"(466, 2017)",32.86062
1646,"(466, 2018)",32.86062
1647,"(466, 2019)",32.86062
1648,"(466, 2020)",32.86062
1649,"(466, 2021)",32.86062
1660,"(470, 2010)",1417.00845
1661,"(470, 2011)",1785.91093
1662,"(470, 2012)",1986.68118
1663,"(470, 2013)",1886.6552
1664,"(470, 2014)",1831.71896
1665,"(470, 2015)",1891.32275
1666,"(470, 2016)",2054.58877
1667,"(470, 2017)",2130.46288
1668,"(470, 2018)",1946.50858
1669,"(470, 2019)",1946.50858
1670,"(470, 2020)",1946.50858
1671,"(470, 2021)",1946.50858
1684,"(480, 2012)",181.81267
1685,"(480, 2013)",181.81267
1686,"(480, 2014)",181.81267
1687,"(480, 2015)",181.81267
1688,"(480, 2016)",181.81267
1689,"(480, 2017)",181.81267
1690,"(480, 2018)",473.85267
1691,"(480, 2019)",473.85267
1692,"(480, 2020)",473.85267
1693,"(480, 2021)",473.85267
1704,"(484, 2010)",337.41655
1705,"(484, 2011)",344.22852
1706,"(484, 2012)",248.08539
1707,"(484, 2013)",251.79954
1708,"(484, 2014)",260.18938
1709,"(484, 2015)",281.32423
1710,"(484, 2016)",315.2625
1711,"(484, 2017)",315.2625
1712,"(484, 2018)",315.2625
1713,"(484, 2019)",315.2625
1714,"(484, 2020)",315.2625
1715,"(484, 2021)",315.2625
1726,"(492, 2010)",295.48208
1727,"(492, 2011)",295.48208
1728,"(492, 2012)",295.48208
1729,"(492, 2013)",295.48208
1730,"(492, 2014)",295.48208
1731,"(492, 2015)",295.48208
1732,"(492, 2016)",295.48208
1733,"(492, 2017)",295.48208
1734,"(492, 2018)",295.48208
1735,"(492, 2019)",295.48208
1736,"(492, 2020)",295.48208
1737,"(492, 2021)",295.48208
1748,"(498, 2010)",760.86315
1749,"(498, 2011)",777.34742
1750,"(498, 2012)",768.64793
1751,"(498, 2013)",737.28776
1752,"(498, 2014)",746.80204
1753,"(498, 2015)",758.22053
1754,"(498, 2016)",725.74132
1755,"(498, 2017)",723.88211
1756,"(498, 2018)",696.07769
1757,"(498, 2019)",696.07769
1758,"(498, 2020)",696.07769
1759,"(498, 2021)",696.07769
1771,"(499, 2011)",649.79929
1772,"(499, 2012)",649.79929
1773,"(499, 2013)",645.01193
1774,"(499, 2014)",671.83174
1775,"(499, 2015)",834.61997
1776,"(499, 2016)",715.80706
1777,"(499, 2017)",702.71829
1778,"(499, 2018)",734.29976
1779,"(499, 2019)",734.29976
1780,"(499, 2020)",734.29976
1781,"(499, 2021)",734.29976
1792,"(504, 2010)",719.77615
1793,"(504, 2011)",845.40676
1794,"(504, 2012)",850.27811
1795,"(504, 2013)",850.27811
1796,"(504, 2014)",1024.35348
1797,"(504, 2015)",1024.35348
1798,"(504, 2016)",1073.54029
1799,"(504, 2017)",1073.54029
1800,"(504, 2018)",1073.54029
1801,"(504, 2019)",1073.54029
1802,"(504, 2020)",1073.54029
1803,"(504, 2021)",1073.54029
1814,"(508, 2010)",38.77089
1815,"(508, 2011)",38.77089
1816,"(508, 2012)",38.77089
1817,"(508, 2013)",38.77089
1818,"(508, 2014)",38.77089
1819,"(508, 2015)",42.96538
1820,"(508, 2016)",42.96538
1821,"(508, 2017)",42.96538
1822,"(508, 2018)",42.96538
1823,"(508, 2019)",42.96538
1824,"(508, 2020)",42.96538
1825,"(508, 2021)",42.96538
1837,"(512, 2011)",148.75852
1838,"(512, 2012)",172.55775
1839,"(512, 2013)",132.07693
1840,"(512, 2014)",177.91253
1841,"(512, 2015)",212.53692
1842,"(512, 2016)",239.80297
1843,"(512, 2017)",242.41051
1844,"(512, 2018)",281.16111
1845,"(512, 2019)",281.16111
1846,"(512, 2020)",281.16111
1847,"(512, 2021)",281.16111
1862,"(516, 2014)",149.46625
1863,"(516, 2015)",149.46625
1864,"(516, 2016)",149.46625
1865,"(516, 2017)",149.46625
1866,"(516, 2018)",149.46625
1867,"(516, 2019)",149.46625
1868,"(516, 2020)",149.46625
1869,"(516, 2021)",149.46625
1880,"(524, 2010)",60.6658
1881,"(524, 2011)",60.6658
1882,"(524, 2012)",60.6658
1883,"(524, 2013)",60.6658
1884,"(524, 2014)",60.6658
1885,"(524, 2015)",60.6658
1886,"(524, 2016)",60.6658
1887,"(524, 2017)",60.6658
1888,"(524, 2018)",60.6658
1889,"(524, 2019)",60.6658
1890,"(524, 2020)",60.6658
1891,"(524, 2021)",60.6658
1902,"(528, 2010)",3219.04137
1903,"(528, 2011)",3664.36592
1904,"(528, 2012)",4361.35075
1905,"(528, 2013)",4551.93071
1906,"(528, 2014)",4512.59862
1907,"(528, 2015)",4673.08231
1908,"(528, 2016)",4776.84417
1909,"(528, 2017)",4887.21604
1910,"(528, 2018)",5604.5408
1911,"(528, 2019)",5604.5408
1912,"(528, 2020)",5604.5408
1913,"(528, 2021)",5604.5408
1924,"(554, 2010)",3723.97525
1925,"(554, 2011)",3688.88613
1926,"(554, 2012)",3688.88613
1927,"(554, 2013)",3961.47849
1928,"(554, 2014)",3961.47849
1929,"(554, 2015)",5417.66749
1930,"(554, 2016)",5417.66749
1931,"(554, 2017)",5529.5219
1932,"(554, 2018)",5529.5219
1933,"(554, 2019)",5529.5219
1934,"(554, 2020)",5529.5219
1935,"(554, 2021)",5529.5219
1946,"(562, 2010)",7.41313
1947,"(562, 2011)",7.41313
1948,"(562, 2012)",7.41313
1949,"(562, 2013)",26.46415
1950,"(562, 2014)",26.46415
1951,"(562, 2015)",26.46415
1952,"(562, 2016)",26.46415
1953,"(562, 2017)",26.46415
1954,"(562, 2018)",26.46415
1955,"(562, 2019)",26.46415
1956,"(562, 2020)",26.46415
1957,"(562, 2021)",26.46415
1968,"(566, 2010)",38.78981
1969,"(566, 2011)",38.78981
1970,"(566, 2012)",38.78981
1971,"(566, 2013)",38.78981
1972,"(566, 2014)",38.78981
1973,"(566, 2015)",38.78981
1974,"(566, 2016)",38.78981
1975,"(566, 2017)",38.78981
1976,"(566, 2018)",38.78981
1977,"(566, 2019)",38.78981
1978,"(566, 2020)",38.78981
1979,"(566, 2021)",38.78981
1990,"(578, 2010)",5413.76596
1991,"(578, 2011)",5502.46245
1992,"(578, 2012)",5552.97485
1993,"(578, 2013)",5573.82633
1994,"(578, 2014)",5685.62686
1995,"(578, 2015)",5890.95502
1996,"(578, 2016)",6077.56807
1997,"(578, 2017)",6350.06229
1998,"(578, 2018)",6466.70021
1999,"(578, 2019)",6466.70021
2000,"(578, 2020)",6466.70021
2001,"(578, 2021)",6466.70021
2012,"(586, 2010)",157.25341
2013,"(586, 2011)",143.02921
2014,"(586, 2012)",143.02921
2015,"(586, 2013)",158.12963
2016,"(586, 2014)",158.12963
2017,"(586, 2015)",278.85397
2018,"(586, 2016)",278.85397
2019,"(586, 2017)",335.58065
2020,"(586, 2018)",335.58065
2021,"(586, 2019)",335.58065
2022,"(586, 2020)",335.58065
2023,"(586, 2021)",335.58065
2034,"(591, 2010)",110.08
2035,"(591, 2011)",118.17132
2036,"(591, 2012)",37.65953
2037,"(591, 2013)",39.10899
2038,"(591, 2014)",39.10899
2039,"(591, 2015)",39.10899
2040,"(591, 2016)",39.10899
2041,"(591, 2017)",39.10899
2042,"(591, 2018)",39.10899
2043,"(591, 2019)",39.10899
2044,"(591, 2020)",39.10899
2045,"(591, 2021)",39.10899
2062,"(598, 2016)",35.48821
2063,"(598, 2017)",35.48821
2064,"(598, 2018)",35.48821
2065,"(598, 2019)",35.48821
2066,"(598, 2020)",35.48821
2067,"(598, 2021)",35.48821
2078,"(600, 2010)",76.6284
2079,"(600, 2011)",50.04755
2080,"(600, 2012)",168.34039
2081,"(600, 2013)",168.34039
2082,"(600, 2014)",152.2079
2083,"(600, 2015)",182.69493
2084,"(600, 2016)",121.1058
2085,"(600, 2017)",135.13787
2086,"(600, 2018)",139.73415
2087,"(600, 2019)",139.73415
2088,"(600, 2020)",139.73415
2089,"(600, 2021)",139.73415
2100,"(608, 2010)",81.21262
2101,"(608, 2011)",84.10554
2102,"(608, 2012)",84.10554
2103,"(608, 2013)",186.91776
2104,"(608, 2014)",186.91776
2105,"(608, 2015)",105.68078
2106,"(608, 2016)",105.68078
2107,"(608, 2017)",105.68078
2108,"(608, 2018)",105.68078
2109,"(608, 2019)",105.68078
2110,"(608, 2020)",105.68078
2111,"(608, 2021)",105.68078
2122,"(616, 2010)",1683.05423
2123,"(616, 2011)",1675.06159
2124,"(616, 2012)",1752.7068
2125,"(616, 2013)",1873.05999
2126,"(616, 2014)",2064.04968
2127,"(616, 2015)",2171.57881
2128,"(616, 2016)",2320.78995
2129,"(616, 2017)",3019.1146
2130,"(616, 2018)",3106.1196
2131,"(616, 2019)",3106.1196
2132,"(616, 2020)",3106.1196
2133,"(616, 2021)",3106.1196
2144,"(620, 2010)",3918.75913
2145,"(620, 2011)",4168.2672
2146,"(620, 2012)",4037.33199
2147,"(620, 2013)",3610.55354
2148,"(620, 2014)",3662.37537
2149,"(620, 2015)",3729.77304
2150,"(620, 2016)",4004.57642
2151,"(620, 2017)",4367.73282
2152,"(620, 2018)",4537.53162
2153,"(620, 2019)",4537.53162
2154,"(620, 2020)",4537.53162
2155,"(620, 2021)",4537.53162
2169,"(630, 2013)",273.98371
2170,"(630, 2014)",273.98371
2171,"(630, 2015)",348.36426
2172,"(630, 2016)",348.36426
2173,"(630, 2017)",348.36426
2174,"(630, 2018)",348.36426
2175,"(630, 2019)",348.36426
2176,"(630, 2020)",348.36426
2177,"(630, 2021)",348.36426
2190,"(634, 2012)",548.00091
2191,"(634, 2013)",548.00091
2192,"(634, 2014)",548.00091
2193,"(634, 2015)",583.9826
2194,"(634, 2016)",583.9826
2195,"(634, 2017)",583.9826
2196,"(634, 2018)",577.34853
2197,"(634, 2019)",577.34853
2198,"(634, 2020)",577.34853
2199,"(634, 2021)",577.34853
2210,"(642, 2010)",966.20415
2211,"(642, 2011)",790.68805
2212,"(642, 2012)",890.67001
2213,"(642, 2013)",922.67455
2214,"(642, 2014)",903.82628
2215,"(642, 2015)",876.22819
2216,"(642, 2016)",911.58518
2217,"(642, 2017)",891.32124
2218,"(642, 2018)",882.44127
2219,"(642, 2019)",882.44127
2220,"(642, 2020)",882.44127
2221,"(642, 2021)",882.44127
2232,"(643, 2010)",3081.07915
2233,"(643, 2011)",3114.61084
2234,"(643, 2012)",3078.38752
2235,"(643, 2013)",3052.69101
2236,"(643, 2014)",3075.14249
2237,"(643, 2015)",3098.11238
2238,"(643, 2016)",2952.21387
2239,"(643, 2017)",2821.52662
2240,"(643, 2018)",2784.33237
2241,"(643, 2019)",2784.33237
2242,"(643, 2020)",2784.33237
2243,"(643, 2021)",2784.33237
2254,"(646, 2010)",12.59357
2255,"(646, 2011)",12.59357
2256,"(646, 2012)",12.59357
2257,"(646, 2013)",15.5482
2258,"(646, 2014)",15.5482
2259,"(646, 2015)",15.5482
2260,"(646, 2016)",13.86086
2261,"(646, 2017)",13.86086
2262,"(646, 2018)",13.86086
2263,"(646, 2019)",13.86086
2264,"(646, 2020)",13.86086
2265,"(646, 2021)",13.86086
2276,"(654, 2010)",330.63316
2277,"(654, 2011)",330.63316
2278,"(654, 2012)",330.63316
2279,"(654, 2013)",330.63316
2280,"(654, 2014)",330.63316
2281,"(654, 2015)",330.63316
2282,"(654, 2016)",330.63316
2283,"(654, 2017)",330.63316
2284,"(654, 2018)",330.63316
2285,"(654, 2019)",330.63316
2286,"(654, 2020)",330.63316
2287,"(654, 2021)",330.63316
2298,"(686, 2010)",369.06021
2299,"(686, 2011)",369.06021
2300,"(686, 2012)",369.06021
2301,"(686, 2013)",369.06021
2302,"(686, 2014)",369.06021
2303,"(686, 2015)",564.33948
2304,"(686, 2016)",564.33948
2305,"(686, 2017)",564.33948
2306,"(686, 2018)",564.33948
2307,"(686, 2019)",564.33948
2308,"(686, 2020)",564.33948
2309,"(686, 2021)",564.33948
2320,"(688, 2010)",1514.84186
2321,"(688, 2011)",1624.00859
2322,"(688, 2012)",1643.3742
2323,"(688, 2013)",1726.97302
2324,"(688, 2014)",1830.99247
2325,"(688, 2015)",2071.21672
2326,"(688, 2016)",2132.77271
2327,"(688, 2017)",2079.19966
2328,"(688, 2018)",2087.21892
2329,"(688, 2019)",2087.21892
2330,"(688, 2020)",2087.21892
2331,"(688, 2021)",2087.21892
2342,"(690, 2010)",146.64741
2343,"(690, 2011)",146.64741
2344,"(690, 2012)",146.64741
2345,"(690, 2013)",146.64741
2346,"(690, 2014)",146.64741
2347,"(690, 2015)",146.64741
2348,"(690, 2016)",146.64741
2349,"(690, 2017)",146.64741
2350,"(690, 2018)",146.64741
2351,"(690, 2019)",146.64741
2352,"(690, 2020)",146.64741
2353,"(690, 2021)",146.64741
2364,"(702, 2010)",6241.86151
2365,"(702, 2011)",6405.06828
2366,"(702, 2012)",6356.67186
2367,"(702, 2013)",6603.11177
2368,"(702, 2014)",6632.24348
2369,"(702, 2015)",7006.63036
2370,"(702, 2016)",6934.91054
2371,"(702, 2017)",6802.53716
2372,"(702, 2018)",6802.53716
2373,"(702, 2019)",6802.53716
2374,"(702, 2020)",6802.53716
2375,"(702, 2021)",6802.53716
2386,"(703, 2010)",2809.39564
2387,"(703, 2011)",2833.44029
2388,"(703, 2012)",2820.16861
2389,"(703, 2013)",2716.36795
2390,"(703, 2014)",2715.55258
2391,"(703, 2015)",2650.20804
2392,"(703, 2016)",2253.26171
2393,"(703, 2017)",2416.22368
2394,"(703, 2018)",2995.95783
2395,"(703, 2019)",2995.95783
2396,"(703, 2020)",2995.95783
2397,"(703, 2021)",2995.95783
2408,"(704, 2010)",114.40569
2409,"(704, 2011)",114.40569
2410,"(704, 2012)",114.40569
2411,"(704, 2013)",679.46269
2412,"(704, 2014)",679.46269
2413,"(704, 2015)",678.56047
2414,"(704, 2016)",678.56047
2415,"(704, 2017)",707.74357
2416,"(704, 2018)",707.74357
2417,"(704, 2019)",707.74357
2418,"(704, 2020)",707.74357
2419,"(704, 2021)",707.74357
2430,"(705, 2010)",3769.81379
2431,"(705, 2011)",4277.31468
2432,"(705, 2012)",4317.18374
2433,"(705, 2013)",4220.32756
2434,"(705, 2014)",4147.06155
2435,"(705, 2015)",3814.21582
2436,"(705, 2016)",3914.26133
2437,"(705, 2017)",4479.40035
2438,"(705, 2018)",4854.56751
2439,"(705, 2019)",4854.56751
2440,"(705, 2020)",4854.56751
2441,"(705, 2021)",4854.56751
2452,"(710, 2010)",365.49511
2453,"(710, 2011)",386.80015
2454,"(710, 2012)",404.71937
2455,"(710, 2013)",434.85308
2456,"(710, 2014)",432.16155
2457,"(710, 2015)",472.30756
2458,"(710, 2016)",492.03626
2459,"(710, 2017)",517.72191
2460,"(710, 2018)",517.72191
2461,"(710, 2019)",517.72191
2462,"(710, 2020)",517.72191
2463,"(710, 2021)",517.72191
2476,"(716, 2012)",99.5185
2477,"(716, 2013)",99.5185
2478,"(716, 2014)",99.5185
2479,"(716, 2015)",99.5185
2480,"(716, 2016)",99.5185
2481,"(716, 2017)",99.5185
2482,"(716, 2018)",99.5185
2483,"(716, 2019)",99.5185
2484,"(716, 2020)",99.5185
2485,"(716, 2021)",99.5185
2496,"(724, 2010)",2869.16871
2497,"(724, 2011)",2765.99771
2498,"(724, 2012)",2693.77956
2499,"(724, 2013)",2625.68144
2500,"(724, 2014)",2613.09979
2501,"(724, 2015)",2623.35435
2502,"(724, 2016)",2715.46526
2503,"(724, 2017)",2855.74562
2504,"(724, 2018)",3000.8872
2505,"(724, 2019)",3000.8872
2506,"(724, 2020)",3000.8872
2507,"(724, 2021)",3000.8872
2523,"(748, 2015)",142.34351
2524,"(748, 2016)",142.34351
2525,"(748, 2017)",142.34351
2526,"(748, 2018)",142.34351
2527,"(748, 2019)",142.34351
2528,"(748, 2020)",142.34351
2529,"(748, 2021)",142.34351
2540,"(752, 2010)",5251.45024
2541,"(752, 2011)",5144.55392
2542,"(752, 2012)",5164.09629
2543,"(752, 2013)",6674.34947
2544,"(752, 2014)",6875.99043
2545,"(752, 2015)",6834.03397
2546,"(752, 2016)",7154.52927
2547,"(752, 2017)",7383.41927
2548,"(752, 2018)",7536.47495
2549,"(752, 2019)",7536.47495
2550,"(752, 2020)",7536.47495
2551,"(752, 2021)",7536.47495
2562,"(756, 2010)",3298.21466
2563,"(756, 2011)",3298.21466
2564,"(756, 2012)",4468.64965
2565,"(756, 2013)",4468.64965
2566,"(756, 2014)",4468.64965
2567,"(756, 2015)",5271.86792
2568,"(756, 2016)",5271.86792
2569,"(756, 2017)",5450.4318
2570,"(756, 2018)",5450.4318
2571,"(756, 2019)",5450.4318
2572,"(756, 2020)",5450.4318
2573,"(756, 2021)",5450.4318
2589,"(760, 2015)",90.95754
2590,"(760, 2016)",90.95754
2591,"(760, 2017)",90.95754
2592,"(760, 2018)",90.95754
2593,"(760, 2019)",90.95754
2594,"(760, 2020)",90.95754
2595,"(760, 2021)",90.95754
2606,"(764, 2010)",329.01211
2607,"(764, 2011)",538.51997
2608,"(764, 2012)",538.51997
2609,"(764, 2013)",790.89267
2610,"(764, 2014)",963.8546
2611,"(764, 2015)",864.67908
2612,"(764, 2016)",1208.45903
2613,"(764, 2017)",1350.34325
2614,"(764, 2018)",1350.34325
2615,"(764, 2019)",1350.34325
2616,"(764, 2020)",1350.34325
2617,"(764, 2021)",1350.34325
2628,"(768, 2010)",34.30567
2629,"(768, 2011)",34.45603
2630,"(768, 2012)",35.78489
2631,"(768, 2013)",35.78489
2632,"(768, 2014)",38.04847
2633,"(768, 2015)",36.13195
2634,"(768, 2016)",32.17731
2635,"(768, 2017)",38.75703
2636,"(768, 2018)",48.05369
2637,"(768, 2019)",48.05369
2638,"(768, 2020)",48.05369
2639,"(768, 2021)",48.05369
2657,"(780, 2017)",517.31899
2658,"(780, 2018)",566.97051
2659,"(780, 2019)",566.97051
2660,"(780, 2020)",566.97051
2661,"(780, 2021)",566.97051
2677,"(784, 2015)",1980.47815
2678,"(784, 2016)",2383.08382
2679,"(784, 2017)",2383.08382
2680,"(784, 2018)",2378.88895
2681,"(784, 2019)",2378.88895
2682,"(784, 2020)",2378.88895
2683,"(784, 2021)",2378.88895
2694,"(788, 2010)",1384.73551
2695,"(788, 2011)",1431.40679
2696,"(788, 2012)",1627.91525
2697,"(788, 2013)",1801.15843
2698,"(788, 2014)",1814.12233
2699,"(788, 2015)",1799.02431
2700,"(788, 2016)",1982.22833
2701,"(788, 2017)",1982.22833
2702,"(788, 2018)",1771.60777
2703,"(788, 2019)",1771.60777
2704,"(788, 2020)",1771.60777
2705,"(788, 2021)",1771.60777
2716,"(792, 2010)",889.58445
2717,"(792, 2011)",981.82744
2718,"(792, 2012)",1100.08415
2719,"(792, 2013)",1173.18826
2720,"(792, 2014)",1160.92355
2721,"(792, 2015)",1211.78504
2722,"(792, 2016)",1254.67457
2723,"(792, 2017)",1379.41194
2724,"(792, 2018)",1379.41194
2725,"(792, 2019)",1379.41194
2726,"(792, 2020)",1379.41194
2727,"(792, 2021)",1379.41194
2738,"(800, 2010)",38.93837
2739,"(800, 2011)",38.93837
2740,"(800, 2012)",38.93837
2741,"(800, 2013)",38.93837
2742,"(800, 2014)",27.84496
2743,"(800, 2015)",27.84496
2744,"(800, 2016)",27.84496
2745,"(800, 2017)",27.84496
2746,"(800, 2018)",27.84496
2747,"(800, 2019)",27.84496
2748,"(800, 2020)",27.84496
2749,"(800, 2021)",27.84496
2760,"(804, 2010)",1327.99136
2761,"(804, 2011)",1257.92846
2762,"(804, 2012)",1231.02563
2763,"(804, 2013)",1162.04915
2764,"(804, 2014)",1023.92665
2765,"(804, 2015)",1005.99722
2766,"(804, 2016)",1037.24086
2767,"(804, 2017)",994.07744
2768,"(804, 2018)",988.07663
2769,"(804, 2019)",988.07663
2770,"(804, 2020)",988.07663
2771,"(804, 2021)",988.07663
2782,"(807, 2010)",532.12835
2783,"(807, 2011)",445.22354
2784,"(807, 2012)",611.77913
2785,"(807, 2013)",675.27686
2786,"(807, 2014)",837.57866
2787,"(807, 2015)",858.45042
2788,"(807, 2016)",854.33425
2789,"(807, 2017)",729.35779
2790,"(807, 2018)",799.27238
2791,"(807, 2019)",799.27238
2792,"(807, 2020)",799.27238
2793,"(807, 2021)",799.27238
2804,"(818, 2010)",492.40565
2805,"(818, 2011)",491.76349
2806,"(818, 2012)",517.14349
2807,"(818, 2013)",539.02144
2808,"(818, 2014)",675.24227
2809,"(818, 2015)",672.94068
2810,"(818, 2016)",689.24608
2811,"(818, 2017)",677.10022
2812,"(818, 2018)",686.71743
2813,"(818, 2019)",686.71743
2814,"(818, 2020)",686.71743
2815,"(818, 2021)",686.71743
2826,"(826, 2010)",4043.26715
2827,"(826, 2011)",3926.11787
2828,"(826, 2012)",3969.85915
2829,"(826, 2013)",4119.45134
2830,"(826, 2014)",4227.62028
2831,"(826, 2015)",4319.50151
2832,"(826, 2016)",4357.93303
2833,"(826, 2017)",4341.15124
2834,"(826, 2018)",4603.31022
2835,"(826, 2019)",4603.31022
2836,"(826, 2020)",4603.31022
2837,"(826, 2021)",4603.31022
2848,"(834, 2010)",36.07047
2849,"(834, 2011)",36.07047
2850,"(834, 2012)",36.07047
2851,"(834, 2013)",19.15202
2852,"(834, 2014)",19.15202
2853,"(834, 2015)",19.15202
2854,"(834, 2016)",19.15202
2855,"(834, 2017)",19.15202
2856,"(834, 2018)",19.15202
2857,"(834, 2019)",19.15202
2858,"(834, 2020)",19.15202
2859,"(834, 2021)",19.15202
2870,"(840, 2010)",3885.08226
2871,"(840, 2011)",4027.11889
2872,"(840, 2012)",3990.62379
2873,"(840, 2013)",4090.88439
2874,"(840, 2014)",4205.25602
2875,"(840, 2015)",4267.83919
2876,"(840, 2016)",4247.7483
2877,"(840, 2017)",4412.43542
2878,"(840, 2018)",4412.43542
2879,"(840, 2019)",4412.43542
2880,"(840, 2020)",4412.43542
2881,"(840, 2021)",4412.43542
2892,"(854, 2010)",47.57672
2893,"(854, 2011)",47.57672
2894,"(854, 2012)",47.57672
2895,"(854, 2013)",47.57672
2896,"(854, 2014)",47.57672
2897,"(854, 2015)",47.57672
2898,"(854, 2016)",47.57672
2899,"(854, 2017)",47.57672
2900,"(854, 2018)",47.57672
2901,"(854, 2019)",47.57672
2902,"(854, 2020)",47.57672
2903,"(854, 2021)",47.57672
2914,"(858, 2010)",626.6233
2915,"(858, 2011)",614.43768
2916,"(858, 2012)",632.44031
2917,"(858, 2013)",634.91258
2918,"(858, 2014)",642.85874
2919,"(858, 2015)",661.48712
2920,"(858, 2016)",679.00479
2921,"(858, 2017)",690.7908
2922,"(858, 2018)",696.37621
2923,"(858, 2019)",696.37621
2924,"(858, 2020)",696.37621
2925,"(858, 2021)",696.37621
2936,"(860, 2010)",544.95896
2937,"(860, 2011)",574.80051
2938,"(860, 2012)",513.08323
2939,"(860, 2013)",507.03862
2940,"(860, 2014)",501.24254
2941,"(860, 2015)",497.42064
2942,"(860, 2016)",506.04688
2943,"(860, 2017)",495.5728
2944,"(860, 2018)",476.17883
2945,"(860, 2019)",476.17883
2946,"(860, 2020)",476.17883
2947,"(860, 2021)",476.17883
2958,"(862, 2010)",204.04403
2959,"(862, 2011)",232.62356
2960,"(862, 2012)",295.83625
2961,"(862, 2013)",363.7885
2962,"(862, 2014)",272.67612
2963,"(862, 2015)",248.92103
2964,"(862, 2016)",300.25538
2965,"(862, 2017)",300.25538
2966,"(862, 2018)",300.25538
2967,"(862, 2019)",300.25538
2968,"(862, 2020)",300.25538
2969,"(862, 2021)",300.25538
2980,"(894, 2010)",41.71683
2981,"(894, 2011)",41.71683
2982,"(894, 2012)",41.71683
2983,"(894, 2013)",41.71683
2984,"(894, 2014)",41.71683
2985,"(894, 2015)",41.71683
2986,"(894, 2016)",41.71683
2987,"(894, 2017)",41.71683
2988,"(894, 2018)",41.71683
2989,"(894, 2019)",41.71683
2990,"(894, 2020)",41.71683
2991,"(894, 2021)",41.71683
